name,slug,url,number,n,quality,price_median,psf_median,psf_yoy,n_yoy,offplan_share,n_projects,units,building
Urban Properties Development L.L.C,urban-properties-development-l-l-c,https://datadubai.ae/developers/urban-properties-development-l-l-c/,1633,78,ok,1983772.0,2186.33,2.1,160.0,100.0,1,147,1
Palmridge Real Estate Development L.L.C,palmridge-real-estate-development-l-l-c,https://datadubai.ae/developers/palmridge-real-estate-development-l-l-c/,2050,78,ok,1213070.5,2376.02,,,100.0,1,229,1
Expo City Al Waha Residences Development Fzco,expo-city-al-waha-residences-development-fzco,https://datadubai.ae/developers/expo-city-al-waha-residences-development-fzco/,2197,78,ok,3565000.0,2550.42,1.0,-83.8,100.0,2,568,2
Ed Residences L.L.C,ed-residences-l-l-c,https://datadubai.ae/developers/ed-residences-l-l-c/,2503,77,ok,9126558.0,4312.5,,,100.0,1,169,1
Rabdan Gardens Real Estate Developments L.L.C,rabdan-gardens-real-estate-developments-l-l-c,https://datadubai.ae/developers/rabdan-gardens-real-estate-developments-l-l-c/,2568,77,ok,1053690.0,2217.42,,,100.0,1,90,1
Ahs Tower Holding Development L.L.C S.O.C,ahs-tower-holding-development-l-l-c-s-o-c,https://datadubai.ae/developers/ahs-tower-holding-development-l-l-c-s-o-c/,2539,77,ok,22285000.0,,,,100.0,1,82,1
Heilbronn Properties Development L.L.C,heilbronn-properties-development-l-l-c,https://datadubai.ae/developers/heilbronn-properties-development-l-l-c/,1747,77,ok,1382376.0,1604.69,2.3,-14.4,76.6,2,165,0
Myra Real Estate Deveiopment L.L.C,myra-real-estate-deveiopment-l-l-c,https://datadubai.ae/developers/myra-real-estate-deveiopment-l-l-c/,1074,77,ok,933500.0,1100.1,-3.3,-7.2,31.2,5,721,1
Vantage Ventures Real Estate Development L.L.C,vantage-ventures-real-estate-development-l-l-c,https://datadubai.ae/developers/vantage-ventures-real-estate-development-l-l-c/,1911,76,ok,1167476.5,1371.54,3.9,18.8,75.0,1,144,0
Star Gigaestablishment Limited,star-gigaestablishment-limited,https://datadubai.ae/developers/star-gigaestablishment-limited/,57,76,ok,1010000.0,1759.44,17.2,-28.3,0.0,2,1066,0
Dng Property Development L.L.C,dng-property-development-l-l-c,https://datadubai.ae/developers/dng-property-development-l-l-c/,1950,74,ok,844270.0,1590.87,2.5,15.6,100.0,1,266,1
Moonjiz Properties Limited,moonjiz-properties-limited,https://datadubai.ae/developers/moonjiz-properties-limited/,390,74,ok,750000.0,890.3,,,0.0,1,74,1
Valores Property Development L.L.C,valores-property-development-l-l-c,https://datadubai.ae/developers/valores-property-development-l-l-c/,1858,74,ok,565000.0,1302.56,-1.8,10.4,100.0,2,196,2
Y A S Developers Fze,y-a-s-developers-fze,https://datadubai.ae/developers/y-a-s-developers-fze/,1098,74,ok,1323020.5,1518.36,5.5,-35.7,28.4,2,224,0
M G S Development L.L.C,m-g-s-development-l-l-c,https://datadubai.ae/developers/m-g-s-development-l-l-c/,1624,74,ok,2235328.0,2508.26,14.0,-63.2,100.0,3,504,3
City View Real Estate Development L.L.C,city-view-real-estate-development-l-l-c,https://datadubai.ae/developers/city-view-real-estate-development-l-l-c/,1805,73,ok,2512105.0,2788.36,-0.5,-53.8,100.0,1,239,1
Urban Venture Real Estate Development L.L.C,urban-venture-real-estate-development-l-l-c,https://datadubai.ae/developers/urban-venture-real-estate-development-l-l-c/,1947,73,ok,1055389.0,1500.03,11.0,55.3,100.0,1,187,1
Riverton House Development L.L.C,riverton-house-development-l-l-c,https://datadubai.ae/developers/riverton-house-development-l-l-c/,2563,72,ok,2271828.0,2709.85,,,100.0,1,151,1
M I R A Developments L.L.C,m-i-r-a-developments-l-l-c,https://datadubai.ae/developers/m-i-r-a-developments-l-l-c/,1445,72,ok,1018760.0,2143.77,32.8,-50.0,100.0,3,566,3
Saba  Properties Dmcc,saba-properties-dmcc,https://datadubai.ae/developers/saba-properties-dmcc/,269,72,ok,1287500.0,1505.35,7.8,-33.3,0.0,4,926,1
Damac Canal Two Property Development L.L.C,damac-canal-two-property-development-l-l-c,https://datadubai.ae/developers/damac-canal-two-property-development-l-l-c/,1131,71,ok,1472500.0,1823.44,-7.5,-46.6,0.0,1,986,0
Eln Properties Development L.L.C,eln-properties-development-l-l-c,https://datadubai.ae/developers/eln-properties-development-l-l-c/,1466,71,ok,3367828.0,2591.63,5.8,-78.9,100.0,1,610,1
Arsenal East Real Estate Development L.L.C,arsenal-east-real-estate-development-l-l-c,https://datadubai.ae/developers/arsenal-east-real-estate-development-l-l-c/,1634,71,ok,1620523.0,2390.01,14.7,136.7,100.0,2,314,2
Union Properties (P.J.S.C),union-properties-p-j-s-c,https://datadubai.ae/developers/union-properties-p-j-s-c/,27,70,ok,2038500.0,1050.0,-4.5,66.7,0.0,2,270,1
Khk Realestate Development L.L.C,khk-realestate-development-l-l-c,https://datadubai.ae/developers/khk-realestate-development-l-l-c/,2178,70,ok,602750.0,1582.75,,,100.0,1,160,1
Ghaff Land Real Estate Development L.L.C,ghaff-land-real-estate-development-l-l-c,https://datadubai.ae/developers/ghaff-land-real-estate-development-l-l-c/,2007,69,ok,829778.0,1244.8,5.1,-6.8,100.0,1,168,1
Victory Heights Real Estate Development L.L.C,victory-heights-real-estate-development-l-l-c,https://datadubai.ae/developers/victory-heights-real-estate-development-l-l-c/,261,69,ok,10500000.0,,,-10.4,0.0,3,133,0
Peak Summit Real Estate Development L.L.C,peak-summit-real-estate-development-l-l-c,https://datadubai.ae/developers/peak-summit-real-estate-development-l-l-c/,1476,69,ok,1077177.0,1368.67,-6.0,-48.5,100.0,3,1014,3
The Circuit Real Estate Development L.L.C,the-circuit-real-estate-development-l-l-c,https://datadubai.ae/developers/the-circuit-real-estate-development-l-l-c/,2075,68,ok,2507412.0,,,-67.5,100.0,1,257,1
Epd Development L.L.C,epd-development-l-l-c,https://datadubai.ae/developers/epd-development-l-l-c/,1453,68,ok,2379470.0,2342.7,6.6,51.1,0.0,1,150,0
Stamn Real Estate Development L.L.C,stamn-real-estate-development-l-l-c,https://datadubai.ae/developers/stamn-real-estate-development-l-l-c/,1943,68,ok,1550000.0,2183.35,-4.5,25.9,100.0,3,228,3
La Mer North Property Co. L.L.C,la-mer-north-property-co-l-l-c,https://datadubai.ae/developers/la-mer-north-property-co-l-l-c/,1824,67,ok,,,,,100.0,1,67,1
Peace Homes Signatures Development L.L.C,peace-homes-signatures-development-l-l-c,https://datadubai.ae/developers/peace-homes-signatures-development-l-l-c/,1197,66,ok,900000.0,1614.64,31.4,-53.8,80.3,2,390,1
Dubai Peninsula L.L.C,dubai-peninsula-l-l-c,https://datadubai.ae/developers/dubai-peninsula-l-l-c/,1499,66,ok,,,,-22.4,100.0,2,177,2
Al Manal Development Fzco,al-manal-development-fzco,https://datadubai.ae/developers/al-manal-development-fzco/,4,66,ok,862500.0,970.95,6.1,-15.4,0.0,8,1296,1
Zabeel Square L.L.C,zabeel-square-l-l-c,https://datadubai.ae/developers/zabeel-square-l-l-c/,1212,65,ok,3190000.0,2914.36,4.4,-21.7,100.0,2,1754,2
Sky Overseas Real Estate Development L.L.C,sky-overseas-real-estate-development-l-l-c,https://datadubai.ae/developers/sky-overseas-real-estate-development-l-l-c/,961,65,ok,1100000.0,994.71,5.1,-35.6,0.0,1,545,0
Schon Investments Limited,schon-investments-limited,https://datadubai.ae/developers/schon-investments-limited/,384,65,ok,740000.0,,,-18.8,0.0,1,379,0
Dlc Ds Developer,dlc-ds-developer,https://datadubai.ae/developers/dlc-ds-developer/,1660,65,ok,23060625.0,,,54.8,0.0,1,130,1
Solanki Real Estate Development L.L.C,solanki-real-estate-development-l-l-c,https://datadubai.ae/developers/solanki-real-estate-development-l-l-c/,1953,65,ok,803880.0,1042.58,,,100.0,1,133,1
Consolidated Urban Real Estate Development Co. L.L.C,consolidated-urban-real-estate-development-co-l-l-c,https://datadubai.ae/developers/consolidated-urban-real-estate-development-co-l-l-c/,1060,64,ok,838000.0,1000.0,-3.3,-36.0,0.0,1,358,0
Emirates Mezna For Real Estate Development L L C - Dubai Branch,emirates-mezna-for-real-estate-development-l-l-c-dubai-branch,https://datadubai.ae/developers/emirates-mezna-for-real-estate-development-l-l-c-dubai-branch/,1667,64,ok,1272921.0,3102.5,,,100.0,1,401,1
L I V Real Estate Development L.L.C,l-i-v-real-estate-development-l-l-c,https://datadubai.ae/developers/l-i-v-real-estate-development-l-l-c/,1137,64,ok,3000000.0,3106.34,10.5,4.9,0.0,2,433,0
Aurora Real Estate Development L.L.C,aurora-real-estate-development-l-l-c,https://datadubai.ae/developers/aurora-real-estate-development-l-l-c/,1099,64,ok,1255000.0,1278.91,13.0,-60.0,0.0,3,406,0
Sp International Property Developers L.L.C,sp-international-property-developers-l-l-c,https://datadubai.ae/developers/sp-international-property-developers-l-l-c/,1150,63,ok,3150000.0,2391.63,-3.6,85.3,0.0,1,431,0
Expo City Mangrove Residences Development Fzco,expo-city-mangrove-residences-development-fzco,https://datadubai.ae/developers/expo-city-mangrove-residences-development-fzco/,1574,63,ok,2475000.0,1950.03,10.3,215.0,100.0,1,470,1
M A S Real Estate Development L.L.C,m-a-s-real-estate-development-l-l-c,https://datadubai.ae/developers/m-a-s-real-estate-development-l-l-c/,1924,63,ok,2801628.0,1800.0,,,100.0,1,242,1
Avelon Real Estate Development L.L.C,avelon-real-estate-development-l-l-c,https://datadubai.ae/developers/avelon-real-estate-development-l-l-c/,1826,63,ok,777150.0,1747.84,22.4,-50.8,73.0,2,244,1
Acube Real Estate Development L L C,acube-real-estate-development-l-l-c,https://datadubai.ae/developers/acube-real-estate-development-l-l-c/,1403,63,ok,1400922.0,1478.93,-3.4,-70.0,58.7,3,525,2
Preatoni Real Estate Development L.L.C,preatoni-real-estate-development-l-l-c,https://datadubai.ae/developers/preatoni-real-estate-development-l-l-c/,1132,62,ok,1150000.0,1434.32,11.2,-13.9,0.0,1,569,0
Azha J V T Residences L.L.C,azha-j-v-t-residences-l-l-c,https://datadubai.ae/developers/azha-j-v-t-residences-l-l-c/,1821,62,ok,752570.5,1587.95,,6100.0,100.0,1,200,1
Iconic Vista Real Estate Development L.L.C,iconic-vista-real-estate-development-l-l-c,https://datadubai.ae/developers/iconic-vista-real-estate-development-l-l-c/,1255,62,ok,799640.0,1539.9,22.8,195.2,88.7,2,230,1
La Mer Central Property Co. L.L.C,la-mer-central-property-co-l-l-c,https://datadubai.ae/developers/la-mer-central-property-co-l-l-c/,1941,62,ok,,,,,100.0,2,99,2
Bonyan International Investment Group  (Holding) (L.L.C),bonyan-international-investment-group-holding-l-l-c,https://datadubai.ae/developers/bonyan-international-investment-group-holding-l-l-c/,257,62,ok,1042500.0,1363.55,1.9,-47.0,0.0,2,1074,0
Al Aseel Investments L.L.C,al-aseel-investments-l-l-c,https://datadubai.ae/developers/al-aseel-investments-l-l-c/,1145,61,ok,4100000.0,3830.8,-4.2,-39.0,0.0,1,920,0
Rashed Mohammed Abdulla Almazroui Real Estate Development,rashed-mohammed-abdulla-almazroui-real-estate-development,https://datadubai.ae/developers/rashed-mohammed-abdulla-almazroui-real-estate-development/,896,61,ok,3321740.0,,,90.6,0.0,1,191,0
Art House Hills Residences Development L.L.C,art-house-hills-residences-development-l-l-c,https://datadubai.ae/developers/art-house-hills-residences-development-l-l-c/,2530,61,ok,1423851.0,1786.68,,,100.0,1,328,1
Falak Properties,falak-properties,https://datadubai.ae/developers/falak-properties/,900,61,ok,650000.0,849.63,19.0,-54.8,0.0,6,894,0
Crystal Three L.L.C-Fz,crystal-three-l-l-c-fz,https://datadubai.ae/developers/crystal-three-l-l-c-fz/,1503,60,ok,8700000.0,1691.54,4.3,-23.1,28.3,1,438,0
Maaia Prime Real Estate Developers L.L.C,maaia-prime-real-estate-developers-l-l-c,https://datadubai.ae/developers/maaia-prime-real-estate-developers-l-l-c/,1971,60,ok,1778460.0,1544.87,14.2,1100.0,100.0,2,104,2
Andi Real Estate Development L.L.C,andi-real-estate-development-l-l-c,https://datadubai.ae/developers/andi-real-estate-development-l-l-c/,2168,59,ok,754112.5,1113.6,,,100.0,1,112,1
Wadi Hills City Real Estate Development L.L.C,wadi-hills-city-real-estate-development-l-l-c,https://datadubai.ae/developers/wadi-hills-city-real-estate-development-l-l-c/,2364,59,ok,1036000.0,1551.39,,,100.0,1,131,1
Tranquil Infra Developers L.L.C,tranquil-infra-developers-l-l-c,https://datadubai.ae/developers/tranquil-infra-developers-l-l-c/,1812,59,ok,645000.0,1425.5,0.3,126.9,100.0,2,179,2
Dusit Rijas Properties L.L.C,dusit-rijas-properties-l-l-c,https://datadubai.ae/developers/dusit-rijas-properties-l-l-c/,1591,58,ok,621697.0,1886.45,-2.7,262.5,100.0,1,153,1
Newbury Real Estate Development L.L.C,newbury-real-estate-development-l-l-c,https://datadubai.ae/developers/newbury-real-estate-development-l-l-c/,2244,58,ok,760000.0,1172.5,,,100.0,1,127,1
Dubai Multi Commodities Centre Authority,dubai-multi-commodities-centre-authority,https://datadubai.ae/developers/dubai-multi-commodities-centre-authority/,153,58,ok,3200000.0,,,-54.3,0.0,4,2467,0
Aum Real Estate Development L.L.C,aum-real-estate-development-l-l-c,https://datadubai.ae/developers/aum-real-estate-development-l-l-c/,1756,57,ok,690555.0,1443.46,,,100.0,1,93,1
Vision Avenue Homes (Fzc),vision-avenue-homes-fzc,https://datadubai.ae/developers/vision-avenue-homes-fzc/,259,57,ok,750000.0,991.94,11.7,-41.8,1.8,3,670,0
Triplanet Range 2 Investments Limited,triplanet-range-2-investments-limited,https://datadubai.ae/developers/triplanet-range-2-investments-limited/,981,56,ok,500000.0,899.95,-0.5,27.3,0.0,1,468,0
Alma Real Estate Developments L.L.C,alma-real-estate-developments-l-l-c,https://datadubai.ae/developers/alma-real-estate-developments-l-l-c/,1818,56,ok,1676546.0,1175.71,-1.1,194.7,100.0,1,80,1
Januss Real Estate Developers L.L.C,januss-real-estate-developers-l-l-c,https://datadubai.ae/developers/januss-real-estate-developers-l-l-c/,1871,56,ok,1612500.0,1382.92,2.4,229.4,100.0,1,82,1
Purvanchal Real Estate Developers L.L.C,purvanchal-real-estate-developers-l-l-c,https://datadubai.ae/developers/purvanchal-real-estate-developers-l-l-c/,1496,56,ok,1997800.0,1451.78,2.3,300.0,100.0,2,171,2
Jhk Heights Real Estate Development L.L.C,jhk-heights-real-estate-development-l-l-c,https://datadubai.ae/developers/jhk-heights-real-estate-development-l-l-c/,2282,55,ok,790825.0,1124.56,-2.7,41.0,100.0,1,95,1
Ary & Maz Development L.L.C,ary-and-maz-development-l-l-c,https://datadubai.ae/developers/ary-and-maz-development-l-l-c/,2353,55,ok,1044484.0,1567.62,,,100.0,1,225,1
Symbolic Real Estate Development L.L.C,symbolic-real-estate-development-l-l-c,https://datadubai.ae/developers/symbolic-real-estate-development-l-l-c/,1561,55,ok,1056210.0,1257.33,7.1,139.1,72.7,2,205,1
M A A S Developers L.L.C,m-a-a-s-developers-l-l-c,https://datadubai.ae/developers/m-a-a-s-developers-l-l-c/,1778,54,ok,916792.5,1518.72,3.3,-23.9,100.0,1,205,1
A G W Real Estate Development L.L.C,a-g-w-real-estate-development-l-l-c,https://datadubai.ae/developers/a-g-w-real-estate-development-l-l-c/,2246,54,ok,601596.0,1400.0,-3.8,350.0,100.0,1,132,1
Lootah Real Estate Development L.L.C,lootah-real-estate-development-l-l-c,https://datadubai.ae/developers/lootah-real-estate-development-l-l-c/,37,54,ok,615000.0,1091.02,3.3,-45.5,0.0,9,480,2
Unique Saray Properties L.L.C,unique-saray-properties-l-l-c,https://datadubai.ae/developers/unique-saray-properties-l-l-c/,2055,53,ok,718087.0,1345.16,,,100.0,1,121,1
Manodev Real Estate Development L.L.C,manodev-real-estate-development-l-l-c,https://datadubai.ae/developers/manodev-real-estate-development-l-l-c/,2129,53,ok,2711923.0,2267.23,,,100.0,1,140,1
Alansari Real Estate Development  L.L.C,alansari-real-estate-development-l-l-c,https://datadubai.ae/developers/alansari-real-estate-development-l-l-c/,1294,53,ok,1615000.0,1369.34,,,100.0,1,134,1
New M F O U R Real Estate Development L.L.C,new-m-f-o-u-r-real-estate-development-l-l-c,https://datadubai.ae/developers/new-m-f-o-u-r-real-estate-development-l-l-c/,1934,53,ok,1578777.0,2243.43,,,100.0,1,84,1
L I V Maritime Real Estate Development L.L.C,l-i-v-maritime-real-estate-development-l-l-c,https://datadubai.ae/developers/l-i-v-maritime-real-estate-development-l-l-c/,2028,52,ok,3739548.0,2704.14,11.0,-73.7,100.0,1,258,1
Al Mizan Harmony Development L.L.C,al-mizan-harmony-development-l-l-c,https://datadubai.ae/developers/al-mizan-harmony-development-l-l-c/,1958,52,ok,943159.5,1379.36,2.6,85.7,100.0,1,113,1
Kappa Acca Real Estate Development,kappa-acca-real-estate-development,https://datadubai.ae/developers/kappa-acca-real-estate-development/,1215,52,ok,1012516.0,2051.85,6.8,-20.0,19.2,4,786,2
Bay Central Developments Limited,bay-central-developments-limited,https://datadubai.ae/developers/bay-central-developments-limited/,148,51,ok,1635000.0,2298.81,-0.5,-32.9,0.0,1,748,0
Souq Residences  Fzco,souq-residences-fzco,https://datadubai.ae/developers/souq-residences-fzco/,244,51,ok,3750000.0,1936.6,10.4,-46.9,0.0,1,596,0
Irth Signature Development L.L.C,irth-signature-development-l-l-c,https://datadubai.ae/developers/irth-signature-development-l-l-c/,1844,51,ok,1323297.0,3232.07,11.1,-89.8,100.0,1,811,1
Behnam Ali Keivan,behnam-ali-keivan,https://datadubai.ae/developers/behnam-ali-keivan/,577,51,ok,390000.0,814.75,3.7,218.8,0.0,1,181,0
Mulk Properties L.L.C,mulk-properties-l-l-c,https://datadubai.ae/developers/mulk-properties-l-l-c/,1978,51,ok,2405600.0,,,,100.0,1,74,1
G F S Real Estate Development L.L.C,g-f-s-real-estate-development-l-l-c,https://datadubai.ae/developers/g-f-s-real-estate-development-l-l-c/,2224,51,ok,914357.5,1372.55,,,100.0,2,506,2
Meteora Real Estate Development L.L.C,meteora-real-estate-development-l-l-c,https://datadubai.ae/developers/meteora-real-estate-development-l-l-c/,1543,51,ok,980000.0,1344.59,-13.3,-45.7,66.7,4,506,3
Torch Select Limited,torch-select-limited,https://datadubai.ae/developers/torch-select-limited/,147,50,ok,1800000.0,1493.77,10.4,-43.8,0.0,1,682,0
Mohammad Rahif Hakmi,mohammad-rahif-hakmi,https://datadubai.ae/developers/mohammad-rahif-hakmi/,315,50,ok,1115000.0,1352.9,8.5,-43.8,0.0,1,1178,0
Damac J R Two Investment L.L.C,damac-j-r-two-investment-l-l-c,https://datadubai.ae/developers/damac-j-r-two-investment-l-l-c/,1529,50,ok,3975500.0,3436.16,2.1,-47.9,100.0,1,1087,1
Bella Rose Real Estate Development L.L.C,bella-rose-real-estate-development-l-l-c,https://datadubai.ae/developers/bella-rose-real-estate-development-l-l-c/,1257,50,ok,600000.0,1358.83,4.9,-2.0,0.0,1,490,0
Damac Mdn Investment L.L.C,damac-mdn-investment-l-l-c,https://datadubai.ae/developers/damac-mdn-investment-l-l-c/,1583,50,ok,4045030.0,4214.73,-2.7,-62.4,100.0,1,646,1
Mered Residences Real Estate L.L.C,mered-residences-real-estate-l-l-c,https://datadubai.ae/developers/mered-residences-real-estate-l-l-c/,1611,50,ok,4990664.5,3701.01,10.8,-57.3,100.0,1,319,1
Lucky Aeon Real Estate Development,lucky-aeon-real-estate-development,https://datadubai.ae/developers/lucky-aeon-real-estate-development/,1284,50,ok,920000.0,1351.21,6.2,-57.6,74.0,3,433,2
