name,slug,url,number,n,quality,price_median,psf_median,psf_yoy,n_yoy,offplan_share,n_projects,units,building
Damac Development(L L C),damac-development-l-l-c,https://datadubai.ae/developers/damac-development-l-l-c/,192,365,ok,600000.0,1082.09,3.5,-33.0,0.0,29,4316,17
Al Habtoor City Real Estate Development (Br. Of Dubai National Investment Co L.L.C),al-habtoor-city-real-estate-development-br-of-dubai-national-investment-co-l-l-c,https://datadubai.ae/developers/al-habtoor-city-real-estate-development-br-of-dubai-national-investment-co-l-l-c/,1094,364,ok,3224555.5,2615.95,4.9,-49.4,78.0,3,3496,2
Dubai Islands L.L.C,dubai-islands-l-l-c,https://datadubai.ae/developers/dubai-islands-l-l-c/,105,356,ok,4230000.0,2592.38,12.1,-64.8,70.8,5,1790,5
Pinnacle Real Estate Developments L.L.C,pinnacle-real-estate-developments-l-l-c,https://datadubai.ae/developers/pinnacle-real-estate-developments-l-l-c/,1553,339,ok,2240360.0,3028.18,0.8,61.4,100.0,1,731,1
Dugasta Properties Development L.L.C,dugasta-properties-development-l-l-c,https://datadubai.ae/developers/dugasta-properties-development-l-l-c/,1157,333,ok,597396.0,1499.99,7.1,-30.2,99.4,8,1503,7
Cobia Real Estate Development L.L.C,cobia-real-estate-development-l-l-c,https://datadubai.ae/developers/cobia-real-estate-development-l-l-c/,2316,330,ok,2724500.0,2888.94,,,100.0,1,412,1
Arada Developments L.L.C S.O.C,arada-developments-l-l-c-s-o-c,https://datadubai.ae/developers/arada-developments-l-l-c-s-o-c/,1409,329,ok,6491875.0,4470.58,3.7,10.8,86.3,5,1511,5
Irth Urban Development L.L.C,irth-urban-development-l-l-c,https://datadubai.ae/developers/irth-urban-development-l-l-c/,2267,321,ok,3194016.0,,,,100.0,1,414,1
Aqua Properties Fz -Llc,aqua-properties-fz-llc,https://datadubai.ae/developers/aqua-properties-fz-llc/,1331,314,ok,1143388.0,1339.79,-1.0,-37.1,96.5,4,2209,3
Prescott Real Estate Development L.L.C,prescott-real-estate-development-l-l-c,https://datadubai.ae/developers/prescott-real-estate-development-l-l-c/,1207,314,ok,1180000.0,1650.32,12.1,-64.2,72.9,11,2281,6
Al Helal Al Zahaby Real Estate Development L.L.C,al-helal-al-zahaby-real-estate-development-l-l-c,https://datadubai.ae/developers/al-helal-al-zahaby-real-estate-development-l-l-c/,1124,307,ok,923293.0,1152.9,5.8,-3.2,87.0,10,1824,5
Rabdan Real Estate Development L.L.C,rabdan-real-estate-development-l-l-c,https://datadubai.ae/developers/rabdan-real-estate-development-l-l-c/,1533,306,ok,1040000.0,1320.2,-2.9,-48.3,97.4,4,1139,3
Zoya One Real Estate Developments L.L.C,zoya-one-real-estate-developments-l-l-c,https://datadubai.ae/developers/zoya-one-real-estate-developments-l-l-c/,1816,304,ok,705600.0,1506.31,16.0,607.0,100.0,6,729,6
Jge Real Estate L.L.C,jge-real-estate-l-l-c,https://datadubai.ae/developers/jge-real-estate-l-l-c/,2249,299,ok,12685000.0,,,,0.0,4,629,4
Remraam L.L.C,remraam-l-l-c,https://datadubai.ae/developers/remraam-l-l-c/,41,298,ok,780000.0,941.62,8.4,-50.6,0.0,3,5517,1
Metrical Real Estate Development L.L.C,metrical-real-estate-development-l-l-c,https://datadubai.ae/developers/metrical-real-estate-development-l-l-c/,1283,294,ok,1100000.0,1482.57,2.2,-26.5,76.9,10,1641,3
Sky Courts (L.L.C),sky-courts-l-l-c,https://datadubai.ae/developers/sky-courts-l-l-c/,547,286,ok,621471.5,715.06,10.0,-32.9,0.0,1,2859,0
Citi Developers Real Estate Development L.L.C,citi-developers-real-estate-development-l-l-c,https://datadubai.ae/developers/citi-developers-real-estate-development-l-l-c/,1610,285,ok,1546719.0,1569.37,13.7,15.9,100.0,5,719,5
Ellington Karma Developers L.L.C,ellington-karma-developers-l-l-c,https://datadubai.ae/developers/ellington-karma-developers-l-l-c/,1986,282,ok,1675828.0,1594.02,0.4,-32.9,100.0,1,743,1
