name,slug,url,n,quality,price_median,psf_median,psf_yoy,n_yoy,offplan_share
Jumeirah First,jumeirah-first,https://datadubai.ae/areas/jumeirah-first/,353,ok,3600000.0,2915.72,0.2,5.7,40.2
Wadi Al Safa 6,wadi-al-safa-6,https://datadubai.ae/areas/wadi-al-safa-6/,281,ok,6800000.0,1445.86,4.5,-19.3,0.0
Mirdif,mirdif,https://datadubai.ae/areas/mirdif/,268,ok,2167641.0,1323.01,11.1,-7.6,34.3
Trade Center First,trade-center-first,https://datadubai.ae/areas/trade-center-first/,233,ok,3785403.5,3547.52,-1.8,-21.8,85.8
Jabal Ali,jabal-ali,https://datadubai.ae/areas/jabal-ali/,226,ok,565000.0,954.51,16.2,-66.4,0.0
Jumeirah Second,jumeirah-second,https://datadubai.ae/areas/jumeirah-second/,157,ok,7434975.0,3782.14,-9.1,0.6,77.7
Al Goze Fourth,al-goze-fourth,https://datadubai.ae/areas/al-goze-fourth/,139,ok,965000.0,884.4,12.7,-26.5,0.0
Al Barsha First,al-barsha-first,https://datadubai.ae/areas/al-barsha-first/,130,ok,2791548.0,1800.0,12.8,52.9,73.1
Nad Al Hamar,nad-al-hamar,https://datadubai.ae/areas/nad-al-hamar/,108,ok,1500000.0,1088.03,-0.7,1.9,22.2
Nad Al Shiba,nad-al-shiba,https://datadubai.ae/areas/nad-al-shiba/,107,ok,740000.0,888.53,15.8,-61.6,0.0
Zaabeel First,zaabeel-first,https://datadubai.ae/areas/zaabeel-first/,106,ok,3863888.0,2949.72,4.5,-22.1,61.3
Hor Al Anz,hor-al-anz,https://datadubai.ae/areas/hor-al-anz/,98,ok,2300000.0,,,-6.7,0.0
Ghadeer Al tair,ghadeer-al-tair,https://datadubai.ae/areas/ghadeer-al-tair/,88,ok,14200000.0,,,-71.7,0.0
Um Suqaim First,um-suqaim-first,https://datadubai.ae/areas/um-suqaim-first/,83,ok,114689815.5,,,453.3,0.0
Al Qusais Industrial Fifth,al-qusais-industrial-fifth,https://datadubai.ae/areas/al-qusais-industrial-fifth/,82,ok,528000.0,599.94,,2633.3,0.0
Al Warsan Third,al-warsan-third,https://datadubai.ae/areas/al-warsan-third/,69,ok,1499000.0,,,-61.5,0.0
Saih Shuaib 4,saih-shuaib-4,https://datadubai.ae/areas/saih-shuaib-4/,65,ok,15485772.0,,,0.0,0.0
Saih Shuaib 3,saih-shuaib-3,https://datadubai.ae/areas/saih-shuaib-3/,62,ok,1827832.5,,,416.7,0.0
Abu Hail,abu-hail,https://datadubai.ae/areas/abu-hail/,60,ok,1800000.0,,,11.1,0.0
Muhaisanah First,muhaisanah-first,https://datadubai.ae/areas/muhaisanah-first/,60,ok,2042404.0,1375.17,5.5,-6.2,0.0
Al Rashidiya,al-rashidiya,https://datadubai.ae/areas/al-rashidiya/,58,ok,1850000.0,,,-23.7,0.0
Al Ttay,al-ttay,https://datadubai.ae/areas/al-ttay/,47,ok,4960828.0,,,840.0,0.0
World Islands,world-islands,https://datadubai.ae/areas/world-islands/,44,ok,2000000.0,2307.42,39.7,-68.3,88.6
Al Waheda,al-waheda,https://datadubai.ae/areas/al-waheda/,41,ok,1700000.0,,,-22.6,0.0
Al Kheeran,al-kheeran,https://datadubai.ae/areas/al-kheeran/,41,ok,3035000.0,1501.94,-5.3,-61.7,0.0
Al Khawaneej First,al-khawaneej-first,https://datadubai.ae/areas/al-khawaneej-first/,41,ok,8625000.0,,,51.9,0.0
Jabal Ali Industrial First,jabal-ali-industrial-first,https://datadubai.ae/areas/jabal-ali-industrial-first/,39,ok,15221375.0,,,77.3,0.0
Al Bada,al-bada,https://datadubai.ae/areas/al-bada/,38,ok,4750000.0,,,-28.3,0.0
Al Twar Fourth,al-twar-fourth,https://datadubai.ae/areas/al-twar-fourth/,33,ok,1763000.0,,,94.1,0.0
Al Rowaiyah First,al-rowaiyah-first,https://datadubai.ae/areas/al-rowaiyah-first/,32,ok,4180000.0,2926.72,,3100.0,90.6
Al Karama,al-karama,https://datadubai.ae/areas/al-karama/,28,ok,8750000.0,,,3.7,0.0
Al Goze First,al-goze-first,https://datadubai.ae/areas/al-goze-first/,28,ok,3537500.0,,,-9.7,0.0
Um Al Sheif,um-al-sheif,https://datadubai.ae/areas/um-al-sheif/,26,ok,17275000.0,,,13.0,0.0
Hessyan First,hessyan-first,https://datadubai.ae/areas/hessyan-first/,25,ok,810000.0,748.03,9.7,-24.2,0.0
Nad Al Shiba Third,nad-al-shiba-third,https://datadubai.ae/areas/nad-al-shiba-third/,25,ok,4950000.0,,,-44.4,0.0
Al Mamzer,al-mamzer,https://datadubai.ae/areas/al-mamzer/,25,ok,10350000.0,,,38.9,0.0
Island 2,island-2,https://datadubai.ae/areas/island-2/,22,ok,,,,-50.0,9.1
Naif,naif,https://datadubai.ae/areas/naif/,22,ok,8500000.0,,,-4.3,0.0
Port Saeed,port-saeed,https://datadubai.ae/areas/port-saeed/,21,ok,2208300.0,,,5.0,0.0
Al Mizhar Second,al-mizhar-second,https://datadubai.ae/areas/al-mizhar-second/,20,ok,6000000.0,,,66.7,0.0
